"ca","k","MAP","c","h3","d","pkx","optwL","P50","pxmin","pxgs50","slope"
400,0.05,1825,2.64,1,1,0.5,0.238815224,-0.870375412543876,-0.837038588362392,-0.837038574209871,8.11098619561893e-08
400,0.05,1825,2.64,1,2,0.5,0.200000888,-1.74075082508775,-1.82027603449704,-1.82027600029339,0.105281410262906
400,0.05,1825,2.64,1,3,0.5,0.178734773,-2.61112623763163,-2.97838905766478,-2.97838896509167,0.225848746183868
400,0.05,1825,2.64,1,4,0.5,0.164681892,-3.4815016501755,-4.26332323047282,-4.26332303845681,0.310387534394961
400,0.05,1825,2.64,1,5,0.5,0.154434137,-4.35187706271938,-5.6488676061588,-5.22888826819791,0.372054834429119
400,0.05,1825,2.64,1,6,0.5,0.146555802,-5.22225247526326,-7.10499640413727,-5.99008841546248,0.417713287296079
400,0.05,1825,2.64,1,7,0.5,0.140226702,-6.09262788780713,-8.62062037741041,-6.76787655930026,0.453228452485581
400,0.05,1825,2.64,1,8,0.5,0.13499007,-6.96300330035101,-10.1843917752067,-7.55220715174852,0.481676849529617
400,0.05,1825,2.64,1,9,0.5,0.130556622,-7.83337871289488,-11.7884818005642,-8.33977315808708,0.505073363595173
400,0.05,1825,2.64,1,10,0.5,0.12681344,-8.70375412543876,-13.390387270486,-9.14081715318498,0.523201154804704
400,0.05,1825,2.64,10,1,0.5,0.249306153,-0.870375412543876,-0.693372399356314,-0.693372393332639,0.160069438584582
400,0.05,1825,2.64,10,2,0.5,0.206910328,-1.74075082508775,-1.56866849976648,-1.56866849716965,0.33556426927504
400,0.05,1825,2.64,10,3,0.5,0.184815566,-2.61112623763163,-2.57242217522647,-2.5724221455044,0.43917314477972
400,0.05,1825,2.64,10,4,0.5,0.170278237,-3.4815016501755,-3.68281603194034,-3.68281594316596,0.508699965776748
400,0.05,1825,2.64,10,5,0.5,0.159746981,-4.35187706271938,-4.87104370567054,-4.5951950527353,0.558023750623377
400,0.05,1825,2.64,10,6,0.5,0.151582936,-5.22225247526326,-6.12926920264434,-5.25943988327134,0.595702741145441
400,0.05,1825,2.64,10,7,0.5,0.144992154,-6.09262788780713,-7.44677370795867,-5.91631881913787,0.625637416615601
400,0.05,1825,2.64,10,8,0.5,0.139475231,-6.96300330035101,-8.82591667523154,-6.56046643775576,0.650655110338358
400,0.05,1825,2.64,10,9,0.5,0.134854655,-7.83337871289488,-10.229260700229,-7.20074547782764,0.670751529557566
400,0.05,1825,2.64,10,10,0.5,0.130846915,-8.70375412543876,-11.6743577646955,-7.83097617373136,0.68808543437965
