ca,k,MAP,c,h3,d,pkx,optwL
400,0.05,1825,2.64,1,1,0.5,0.238815224
400,0.05,1825,2.64,1,2,0.5,0.200000888
400,0.05,1825,2.64,1,3,0.5,0.178734773
400,0.05,1825,2.64,1,4,0.5,0.164681892
400,0.05,1825,2.64,1,5,0.5,0.154434137
400,0.05,1825,2.64,1,6,0.5,0.146555802
400,0.05,1825,2.64,1,7,0.5,0.140226702
400,0.05,1825,2.64,1,8,0.5,0.13499007
400,0.05,1825,2.64,1,9,0.5,0.130556622
400,0.05,1825,2.64,1,10,0.5,0.12681344
400,0.05,1825,2.64,10,1,0.5,0.249306153
400,0.05,1825,2.64,10,2,0.5,0.206910328
400,0.05,1825,2.64,10,3,0.5,0.184815566
400,0.05,1825,2.64,10,4,0.5,0.170278237
400,0.05,1825,2.64,10,5,0.5,0.159746981
400,0.05,1825,2.64,10,6,0.5,0.151582936
400,0.05,1825,2.64,10,7,0.5,0.144992154
400,0.05,1825,2.64,10,8,0.5,0.139475231
400,0.05,1825,2.64,10,9,0.5,0.134854655
400,0.05,1825,2.64,10,10,0.5,0.130846915
400,0.05,1825,2.64,25,1,0.5,0.261192313
400,0.05,1825,2.64,25,2,0.5,0.21657038
400,0.05,1825,2.64,25,3,0.5,0.19374321
400,0.05,1825,2.64,25,4,0.5,0.178967148
400,0.05,1825,2.64,25,5,0.5,0.16825548
400,0.05,1825,2.64,25,6,0.5,0.160027101
400,0.05,1825,2.64,25,7,0.5,0.153353057
400,0.05,1825,2.64,25,8,0.5,0.14774683
400,0.05,1825,2.64,25,9,0.5,0.143022747
400,0.05,1825,2.64,25,10,0.5,0.138945576
400,0.05,1825,2.64,100,1,0.5,0.290431092
400,0.05,1825,2.64,100,2,0.5,0.239708751
400,0.05,1825,2.64,100,3,0.5,0.214838716
400,0.05,1825,2.64,100,4,0.5,0.198913442
400,0.05,1825,2.64,100,5,0.5,0.187505532
400,0.05,1825,2.64,100,6,0.5,0.178741634
400,0.05,1825,2.64,100,7,0.5,0.171684362
400,0.05,1825,2.64,100,8,0.5,0.165826204
400,0.05,1825,2.64,100,9,0.5,0.160795581
400,0.05,1825,2.64,100,10,0.5,0.156486806
400,0.025,1825,2.64,25,1,0.5,0.263535255
400,0.025,1825,2.64,25,2,0.5,0.218616351
400,0.025,1825,2.64,25,3,0.5,0.195575156
400,0.025,1825,2.64,25,4,0.5,0.180621789
400,0.025,1825,2.64,25,5,0.5,0.169773389
400,0.025,1825,2.64,25,6,0.5,0.161385205
400,0.025,1825,2.64,25,7,0.5,0.154617452
400,0.025,1825,2.64,25,8,0.5,0.149001953
400,0.025,1825,2.64,25,9,0.5,0.144212631
400,0.025,1825,2.64,25,10,0.5,0.140065376
400,0.1,1825,2.64,25,1,0.5,0.258284489
400,0.1,1825,2.64,25,2,0.5,0.214118733
400,0.1,1825,2.64,25,3,0.5,0.191701301
400,0.1,1825,2.64,25,4,0.5,0.177226262
400,0.1,1825,2.64,25,5,0.5,0.166697023
400,0.1,1825,2.64,25,6,0.5,0.158509625
400,0.1,1825,2.64,25,7,0.5,0.151944809
400,0.1,1825,2.64,25,8,0.5,0.14652001
400,0.1,1825,2.64,25,9,0.5,0.141900341
400,0.1,1825,2.64,25,10,0.5,0.137809558
400,0.05,912.5,2.64,25,1,0.5,0.25647201
400,0.05,912.5,2.64,25,2,0.5,0.25647201
400,0.05,912.5,2.64,25,3,0.5,0.190288118
400,0.05,912.5,2.64,25,4,0.5,0.175963767
400,0.05,912.5,2.64,25,5,0.5,0.165645872
400,0.05,912.5,2.64,25,6,0.5,0.157617574
400,0.05,912.5,2.64,25,7,0.5,0.151145452
400,0.05,912.5,2.64,25,8,0.5,0.14579554
400,0.05,912.5,2.64,25,9,0.5,0.141196943
400,0.05,912.5,2.64,25,10,0.5,0.137235766
400,0.05,3650,2.64,25,1,0.5,0.265692999
400,0.05,3650,2.64,25,2,0.5,0.220767308
400,0.05,3650,2.64,25,3,0.5,0.197482646
400,0.05,3650,2.64,25,4,0.5,0.182291182
400,0.05,3650,2.64,25,5,0.5,0.171283706
400,0.05,3650,2.64,25,6,0.5,0.162749058
400,0.05,3650,2.64,25,7,0.5,0.155802048
400,0.05,3650,2.64,25,8,0.5,0.150090452
400,0.05,3650,2.64,25,9,0.5,0.145165342
400,0.05,3650,2.64,25,10,0.5,0.140977178
400,0.05,1825,2.64,25,1,0.25,0.2540921
400,0.05,1825,2.64,25,2,0.25,0.212112403
400,0.05,1825,2.64,25,3,0.25,0.190134627
400,0.05,1825,2.64,25,4,0.25,0.175732909
400,0.05,1825,2.64,25,5,0.25,0.165199237
400,0.05,1825,2.64,25,6,0.25,0.157083141
400,0.05,1825,2.64,25,7,0.25,0.150437019
400,0.05,1825,2.64,25,8,0.25,0.144990527
400,0.05,1825,2.64,25,9,0.25,0.140266808
400,0.05,1825,2.64,25,10,0.25,0.13619304
400,0.05,1825,2.64,25,1,0.75,0.264470337
400,0.05,1825,2.64,25,2,0.75,0.21836788
400,0.05,1825,2.64,25,3,0.75,0.195374065
400,0.05,1825,2.64,25,4,0.75,0.180600369
400,0.05,1825,2.64,25,5,0.75,0.170034603
400,0.05,1825,2.64,25,6,0.75,0.16187785
400,0.05,1825,2.64,25,7,0.75,0.1553018
400,0.05,1825,2.64,25,8,0.75,0.149859212
400,0.05,1825,2.64,25,9,0.75,0.145244257
400,0.05,1825,2.64,25,10,0.75,0.141216843
