"wLi","wLr","averBi"
0.17,0.1776,9.43793913975846
0.173,0.1776,9.48386264948631
0.176,0.1776,9.49025116464594
0.179,0.1776,9.49168014119376
0.182,0.1776,9.49020396598968
0.185,0.1776,9.48038426479839
0.188,0.1776,9.46235545550242
0.17,0.1777,9.45102704740196
0.173,0.1777,9.496821780817
0.176,0.1777,9.50230498479444
0.179,0.1777,9.50220518949262
0.182,0.1777,9.49996279638284
0.185,0.1777,9.48959190771212
0.188,0.1777,9.47112831750307
0.17,0.1778,9.46412507735411
0.173,0.1778,9.50980681306793
0.176,0.1778,9.51440554128728
0.179,0.1778,9.51274544294411
0.182,0.1778,9.50971873357303
0.185,0.1778,9.49878681423869
0.188,0.1778,9.47988229706523
0.17,0.1779,9.47723171098214
0.173,0.1779,9.52281524684021
0.176,0.1779,9.52655236187793
0.179,0.1779,9.52330225326984
0.182,0.1779,9.51947232372964
0.185,0.1779,9.50796925145009
0.188,0.1779,9.48861738977354
0.17,0.178,9.4903482105721
0.173,0.178,9.53584517301407
0.176,0.178,9.5387447697911
0.179,0.178,9.53387563310185
0.182,0.178,9.52922412714389
0.185,0.178,9.5171401335368
0.188,0.178,9.49733405953179
