"wLi","wLr","averBi"
0.17,0.17,8.49399128435231
0.171,0.17,8.52438791154207
0.172,0.17,8.55226107408723
0.173,0.17,8.57767629435041
0.174,0.17,8.60072895287919
0.175,0.17,8.62150598829412
0.176,0.17,8.64009792058614
0.177,0.17,8.65660363923134
0.178,0.17,8.67111743498026
0.179,0.17,8.68373437252821
0.18,0.17,8.69454623477692
0.17,0.171,8.61068781868543
0.171,0.171,8.63952146139593
0.172,0.171,8.6666396547094
0.173,0.171,8.69132199483069
0.174,0.171,8.71365550543694
0.175,0.171,8.73373125962125
0.176,0.171,8.75164373667475
0.177,0.171,8.76748912527233
0.178,0.171,8.78136356528471
0.179,0.171,8.79336219279023
0.18,0.171,8.80357764841512
0.17,0.172,8.72998923177017
0.171,0.172,8.75651185479342
0.172,0.172,8.78154372964152
0.173,0.172,8.80514584077476
0.174,0.172,8.82646422130035
0.175,0.172,8.84558083309808
0.176,0.172,8.86258354739304
0.177,0.172,8.87756281864248
0.178,0.172,8.89061137448264
0.179,0.172,8.90182084357412
0.18,0.172,8.91128184437922
0.17,0.173,8.85178296388411
0.171,0.173,8.87637106691408
0.172,0.173,8.89848580343326
0.173,0.173,8.91945727961606
0.174,0.173,8.93934731076471
0.175,0.173,8.9571595286381
0.176,0.173,8.9729570630192
0.177,0.173,8.98681374466772
0.178,0.173,8.99880930676198
0.179,0.173,9.00902669455783
0.18,0.173,9.01754966848068
0.17,0.174,8.97589165955045
0.171,0.174,8.99896664014584
0.172,0.174,9.01864929467273
0.173,0.174,9.03608372565342
0.174,0.174,9.05277921949389
0.175,0.174,9.06880087505903
0.176,0.174,9.08299675331487
0.177,0.174,9.09539862738552
0.178,0.174,9.10605742303041
0.179,0.174,9.11503553799947
0.18,0.174,9.12240126672492
0.17,0.175,9.10208842242887
0.171,0.175,9.12408013924497
0.172,0.175,9.14183976436426
0.173,0.175,9.15634205540353
0.174,0.175,9.16888578496796
0.175,0.175,9.18113888312435
0.176,0.175,9.19317174030451
0.177,0.175,9.20367050270629
0.178,0.175,9.21262341521039
0.179,0.175,9.22005111512041
0.18,0.175,9.22599271920613
0.17,0.176,9.2301010999319
0.171,0.176,9.25144179815761
0.172,0.176,9.26778290512687
0.173,0.176,9.27996577745751
0.174,0.176,9.28908755726591
0.175,0.176,9.29657878314346
0.176,0.176,9.30426839829694
0.177,0.176,9.31222446798826
0.178,0.176,9.31897193081594
0.179,0.176,9.32444383168334
0.18,0.176,9.32862382865764
0.17,0.177,9.35963048450425
0.171,0.177,9.38073725828192
0.172,0.177,9.39615555289955
0.173,0.177,9.40659787453381
0.174,0.177,9.41301416863843
0.175,0.177,9.41661490609944
0.176,0.177,9.41894807984773
0.177,0.177,9.42199146888431
0.178,0.177,9.42581514380408
0.179,0.177,9.42877930417671
0.18,0.177,9.43075672720318
0.17,0.178,9.49034823769833
0.171,0.178,9.51162157840953
0.172,0.178,9.52658024067859
0.173,0.178,9.53584516497968
0.174,0.178,9.5402246875082
0.175,0.178,9.54075316511745
0.176,0.178,9.53874473941196
0.177,0.178,9.53586276074093
0.178,0.178,9.53421498387324
0.179,0.178,9.53387559012503
0.18,0.178,9.53304690534997
0.17,0.179,9.62191566829619
0.171,0.179,9.64372865946369
0.172,0.179,9.65866431120659
0.173,0.179,9.66727178225708
0.174,0.179,9.67023852467327
0.175,0.179,9.66846258692229
0.176,0.179,9.66303313158473
0.177,0.179,9.65538233846098
0.178,0.179,9.64726732772121
0.179,0.179,9.6409144522946
0.18,0.179,9.63640843605586
0.17,0.18,9.75398789385845
0.171,0.18,9.77666790599169
0.172,0.18,9.7919932293785
0.173,0.18,9.80042323894483
0.174,0.18,9.802551344688
0.175,0.18,9.79914426008048
0.176,0.18,9.79115620963405
0.177,0.18,9.77977807192902
0.178,0.18,9.76649844125199
0.179,0.18,9.75317023284007
0.18,0.18,9.74213274001274
