wLi,wLr,averBi
0.172,0.175,16.65549759
0.173,0.175,16.68974841
0.174,0.175,16.71453813
0.175,0.175,16.7308694
0.176,0.175,16.7393802
0.177,0.175,16.74038307
0.178,0.175,16.73441963
0.179,0.175,16.72199819
0.18,0.175,16.70359574
0.181,0.175,16.67965391
0.182,0.175,16.6505821
0.183,0.175,16.61675862
0.172,0.176,16.64366257
0.173,0.176,16.6768804
0.174,0.176,16.70028612
0.175,0.176,16.7147855
0.176,0.176,16.7213951
0.177,0.176,16.72078139
0.178,0.176,16.71324209
0.179,0.176,16.69929344
0.18,0.176,16.67942136
0.181,0.176,16.65407459
0.182,0.176,16.62366743
0.183,0.176,16.58858108
0.172,0.177,16.63643652
0.173,0.177,16.66885825
0.174,0.177,16.69114913
0.175,0.177,16.70416158
0.176,0.177,16.70883065
0.177,0.177,16.70619448
0.178,0.177,16.69692506
0.179,0.177,16.68129689
0.18,0.177,16.65980242
0.181,0.177,16.63289764
0.182,0.177,16.60100182
0.183,0.177,16.56450452
0.172,0.1772,16.63552787
0.173,0.1772,16.66781959
0.174,0.1772,16.68992046
0.175,0.1772,16.70267199
0.176,0.1772,16.70699094
0.177,0.1772,16.70392215
0.178,0.1772,16.69427302
0.179,0.1772,16.67829002
0.18,0.1772,16.65645248
0.181,0.1772,16.62921767
0.182,0.1772,16.5970061
0.183,0.1772,16.56020345
0.172,0.1773,16.6351473
0.173,0.1773,16.66737094
0.174,0.1773,16.68937784
0.175,0.1773,16.70200467
0.176,0.1773,16.70616598
0.177,0.1773,16.70287364
0.178,0.1773,16.69302516
0.179,0.1773,16.67686268
0.18,0.1773,16.65485303
0.181,0.1773,16.62744917
0.182,0.1773,16.59507714
0.183,0.1773,16.55812161
0.172,0.1774,16.63481008
0.173,0.1774,16.66696959
0.174,0.1774,16.68888737
0.175,0.1774,16.70138335
0.176,0.1774,16.70538632
0.177,0.1774,16.70188501
0.178,0.1774,16.69183016
0.179,0.1774,16.67548629
0.18,0.1774,16.65329951
0.181,0.1774,16.62572863
0.182,0.1774,16.59319464
0.183,0.1774,16.55608431
0.172,0.1775,16.63451399
0.173,0.1775,16.66660961
0.174,0.1775,16.68844244
0.175,0.1775,16.7008262
0.176,0.1775,16.7046753
0.177,0.1775,16.70095415
0.178,0.1775,16.69068792
0.179,0.1775,16.67416135
0.18,0.1775,16.65179768
0.181,0.1775,16.62405624
0.182,0.1775,16.59135876
0.183,0.1775,16.5540928
