ca,k,MAP,c,h3,d,No refilling,Perfect refilling
400,0.05,1825,2.64,1,1,0.237391588872621,0.219739132809076
400,0.05,1825,2.64,1,2,0.199489329739771,0.183200773429264
400,0.05,1825,2.64,1,3,0.179524342792369,0.165023824721059
400,0.05,1825,2.64,1,4,0.166376542776724,0.153338858012127
400,0.05,1825,2.64,1,5,0.156779197039201,0.144899476817644
400,0.05,1825,2.64,1,6,0.149332299107777,0.138379045374095
400,0.05,1825,2.64,1,7,0.143312182451349,0.133113836925980
400,0.05,1825,2.64,1,8,0.138299320937904,0.128727471299887
400,0.05,1825,2.64,1,9,0.134030585048342,0.124987350084961
400,0.05,1825,2.64,1,10,0.130331075377533,0.121740390473732
400,0.05,1825,2.64,10,1,0.237391588872621,0.254264390359930
400,0.05,1825,2.64,10,2,0.199489329739771,0.207403015335970
400,0.05,1825,2.64,10,3,0.179524342792369,0.184815566462289
400,0.05,1825,2.64,10,4,0.166376542776724,0.170541470618786
400,0.05,1825,2.64,10,5,0.156779197039201,0.160349116248024
400,0.05,1825,2.64,10,6,0.149332299107777,0.152540463264189
400,0.05,1825,2.64,10,7,0.143312182451349,0.146276683871670
400,0.05,1825,2.64,10,8,0.138299320937904,0.141086657601179
400,0.05,1825,2.64,10,9,0.134030585048342,0.136681464875417
400,0.05,1825,2.64,10,10,0.130331075377533,0.132872157723717
400,0.05,1825,2.64,100,1,0.237391588872621,0.329133891119434
400,0.05,1825,2.64,100,2,0.199489329739771,0.264552884698790
400,0.05,1825,2.64,100,3,0.179524342792369,0.234566885026398
400,0.05,1825,2.64,100,4,0.166376542776724,0.216027606470772
400,0.05,1825,2.64,100,5,0.156779197039201,0.202976450844820
400,0.05,1825,2.64,100,6,0.149332299107777,0.193076189890790
400,0.05,1825,2.64,100,7,0.143312182451349,0.185192091966882
400,0.05,1825,2.64,100,8,0.138299320937904,0.178695459174189
400,0.05,1825,2.64,100,9,0.134030585048342,0.173204935364911
400,0.05,1825,2.64,100,10,0.130331075377533,0.168473359491755
